TestDate,Time,Antenna1 GetTxPower,,
2014-12-12,15:01:16,14.774254,
2014-12-12,15:01:27,14.719130,
2014-12-12,15:01:37,14.657200,
2014-12-12,15:01:47,15.089909,
2014-12-12,15:01:57,13.473018,
2014-12-12,15:02:07,14.737668,
2014-12-12,15:02:17,15.231786,
2014-12-12,15:02:26,12.989308,
2014-12-12,15:02:36,14.794395,
2014-12-12,15:02:45,14.864089,
2014-12-12,15:03:05,14.945047,
2014-12-12,15:03:14,14.860609,
2014-12-12,15:03:28,14.788175,
2014-12-12,15:03:37,15.137149,
2014-12-12,15:03:48,13.537704,
2014-12-12,15:03:57,14.777735,
2014-12-12,15:04:11,15.286307,
2014-12-12,15:04:21,12.989491,
2014-12-12,15:04:31,14.832294,
2014-12-12,15:04:41,14.617934,
2014-12-12,15:05:08,14.993453,
2014-12-12,15:05:55,14.870432,
2014-12-12,15:06:05,14.814700,
2014-12-12,15:06:15,15.113877,
2014-12-12,15:06:24,13.554182,
2014-12-12,15:06:35,14.769566,
2014-12-12,15:06:45,15.291230,
2014-12-12,15:06:55,13.042188,
2014-12-12,15:07:05,14.830705,
2014-12-12,15:07:15,14.831376,
