TestDate,Time,MIS,Point 1571,Point 1572,Point 1573,Point 1574,Point 1575,Point 1576,Temperature,Current,RCTA Occupied BW,BSD Occupied BW,Power,Point 1481,Point 1666,Point 1667,Point 1668,Point 1669,Antenna1 GetTxPower,Antenna2 GetTxPower,Antenna1 GetCenterFrequency,Antenna2 GetCenterFrequency,Antenna1 GetCwLeakage,Antenna2 GetCwLeakage,Temperature,Delta,,
2015-03-01,07:30:06,
2015-03-01,08:46:28,
2015-03-01,11:44:12,
2015-03-01,11:45:17,
2015-03-01,11:46:24,
2015-03-01,11:49:14,
2015-03-01,11:51:12,
2015-03-01,11:52:16,
2015-03-01,11:55:05,
2015-03-01,12:22:41,
2015-03-01,12:30:24,
2015-03-01,15:58:49,
2015-03-01,20:12:46,
2015-03-01,20:31:09,
2015-03-01,22:00:24,
2015-03-01,22:26:27,
